,company,title,location,job posted date,job salary,summary,Experince Level,City,State,Manager,Engineer
0,Bobcat Company,Data Science Analyst,"West Fargo, ND 58078",PostedToday,Full-time,"Data & statistical analysis: 1 year (Preferred).Experience Required: 0-5 Years.Relational data management and reporting tools, such as Power BI or Tableau.",Entry Level,West Fargo, ND 58078,0,0
1,Ascendo Resources,Data Analyst,Remote+2 locations,PostedJust posted,$75000 a year,"Developing and maintaining databases, data systems – reorganizing data in a readable format.Performing analysis to assess quality and meaning of data.",Entry Level,Remote+2 locations,,0,0
2,Stafug,Data/Business Analyst,+2 locationsRemote,PostedJust posted,$55 - $65 an hour,"In addition, you will provide insight to other data analysts, data architects, and application developers to create an enterprise data model that meets business…",Entry Level,+2 locationsRemote,,0,0
3,Rohatech llc,Data Analyst - Tableau,Remote,PostedJust posted,Full-time +1,"12 Month Contract - Potential For Extension or Conversion.Create Visualization for Business Team.Job Types: Full-time, Contract.Pay: $1.00 - $60.00 per hour.",Entry Level,Remote,,0,0
4,Procom,Data Entry Analyst - 331923,"Getzville, NY",Posted4 days ago,Contract,Assist team members with procedural tasks such as creating/closing accounts and updating static data on existing customers.Data Entry - Assignment Start Date.,Entry Level,Getzville, NY,0,0
5,Cilable,Data Analyst - REMOTE,Remote,Posted5 days ago,Up to $30 an hour,"The candidate will assist the Data Governance Program manager in the delivery of all data governance projects and initiatives.Job Types: Full-time, Contract.",Entry Level,Remote,,0,0
6,PCR,Data Feed Analyst,Remote, 8 days ago,$75000 - $110000 a year,Review and verify accuracy of data.The Operations Associate will be responsible for providing client with continuous support related to data and reporting…,Entry Level,Remote,,0,0
7,MealPal,Junior Data Analyst,"New York, NY",Posted18 days ago,,️ Mine data for answers to business challenges.Are you a data-driven problem solver?️ Develop insights and recommend business strategy based on data.,Entry Level,New York, NY,0,0
8,Broadly,Data Analyst,Remote, 7 days ago,$66255 - $145111 a year,Position Summary: *The data delivery analyst playsan important part in our operations to ensure high quality data in our business systems and develop processes…,Entry Level,Remote,,0,0
9,Acrometis,Data Analyst,Remote, 2 days ago,$80000 - $100000 a year,Proven working experience as a data analyst or business data analyst.Acquire data from primary or secondary data sources and maintain databases/data systems.,Entry Level,Remote,,0,0
10,Shaker,Junior Data Analyst,Remote,Posted30+ days ago,,"Due to growing client demand, we have opportunities for data analysts at the junior, mid-, and senior levels.Remote | HQ in Oak Park, IL.",Entry Level,Remote,,0,0
11,6elm Capital,Data Analyst,"New York, NY 10003 (Flatiron area)",Posted5 days ago,$80000 - $100000 a year,Investigate and defuse time-sensitive data incidents.Communicate with data providers to onboard new datasets and troubleshoot technical issues.,Entry Level,New York, NY 10003 (Flatiron area),0,0
12,University of Kentucky,Institutional Data Analyst Associate,"Lexington, KY",Posted4 days ago,$18.80 - $30.09 an hour,"In addition to e-procurement support, the successful candidate will perform data reporting across both internal and external data sources relating to…",Entry Level,Lexington, KY,0,0
13,American Unit,Data Protection Analyst,"New York, NY", 6 days ago,$60 - $65 an hour,IV process - panel one and done Pittsburgh or NY local.Symantec is the biggest must have - otherwise need 10+ years of endpoint protection exp.,Entry Level,New York, NY,0,0
14,Helm,Data Analyst,"Plymouth, MI", 11 days ago,$80000 - $90000 a year,\*One must be excited and encouraged to work with multiple levels of stakeholders to make data actionable and ensure data integrity.Who are we looking for?*.,Entry Level,Plymouth, MI,0,0
15,Stafug,Data/Business Analyst,+2 locationsRemote,PostedJust posted,$55 - $65 an hour,"Documenting data flows at different levels.Experience working directly with senior stakeholders to identify data requirements.Job Types: Full-time, Part-time.",Entry Level,+2 locationsRemote,,0,0
16,Rohatech llc,Data Analyst - Tableau,Remote,PostedJust posted,Full-time +1,"12 Month Contract - Potential For Extension or Conversion.Create Visualization for Business Team.Job Types: Full-time, Contract.",Entry Level,Remote,,0,0
17,DISYS,Data Analyst,"Tampa, FL 33619+11 locations",PostedToday,$24 - $26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Tampa, FL 33619+11 locations,0,0
18,Bobcat Company,Data Science Analyst,"West Fargo, ND 58078",PostedToday,Full-time,"Data & statistical analysis: 1 year (Preferred).Relational data management and reporting tools, such as Power BI or Tableau.Python or R: 1 year (Preferred).",Entry Level,West Fargo, ND 58078,0,0
19,MealPal,Junior Data Analyst,"New York, NY",Posted18 days ago,,️ Mine data for answers to business challenges.️ Develop insights and recommend business strategy based on data.This role is ideal for a 2022 College Grad.,Entry Level,New York, NY,0,0
20,Helm,Data Analyst,"Plymouth, MI", 11 days ago,$80000 - $90000 a year,"Interpret data and analyze results using statistical techniques.Identify, analyze, and interpret trends or patterns in complex data sets.",Entry Level,Plymouth, MI,0,0
21,Purple Drive Technologies,Data Analyst,"Redmond, WA", 4 days ago,Full-time +1,"Participate in continuous process improvements focused on systems, reporting, and data analysis efficiencies.Business coordination with multiple stakeholders.",Entry Level,Redmond, WA,0,0
22,Shaker,Junior Data Analyst,Remote,Posted30+ days ago,,"Due to growing client demand, we have opportunities for data analysts at the junior, mid-, and senior levels.Familiarity with Tableau or other BI tools.",Entry Level,Remote,,0,0
23,Beacon Systems,Data Analyst,Remote,Posted4 days ago,Full-time +1,"Using methods of exploratory data analysis and demonstrating ability to identify when data is insufficient to reach conclusions.Job Types: Full-time, Contract.",Entry Level,Remote,,0,0
24,Fasa para Sparrow Company,BI Data Analyst,"Ontario, CA",PostedJust posted,$70000 - $80000 a year,"Reporting of information from Integra, dispatching software product of Command Alkon.Equipment Utilization and Plant Production Reports.",Entry Level,Ontario, CA,0,0
25,"Infinity Consulting Solutions, Inc.",Jr. Data Analyst - Remote,Remote in Illinois,Posted24 days ago,$20 - $25 an hour,"The Jr. Data Analyst will be responsible to review daily, monthly, and yearly data thoroughly, performing trend analysis and highlighting variances of…",Entry Level,Remote in Illinois,,0,0
26,Synergis,PowerBI Developer / Infrastructure Data Analyst,Remote,PostedToday,$50 - $60 an hour,"Meeting with IS analysts and other TO analysts to discuss and review solutions.Data deep dives to validate data is accurate.Job Types: Full-time, Contract.",Entry Level,Remote,,0,0
27,Microsoft,Data Analyst – Enterprise Data,"Remote in Redmond, WA",Posted10 days ago,Full-time,Work with data engineers to operationalize dashboards and ingest new data sources (provide data modeling requirements).,Entry Level,Remote in Redmond, WA,0,0
28,Stafug,Data/Business Analyst,+3 locationsRemote,PostedJust posted,$55 - $65 an hour,"Documenting data flows at different levels.Experience working directly with senior stakeholders to identify data requirements.Job Types: Full-time, Part-time.",Entry Level,+3 locationsRemote,,0,0
29,DISYS,Data Analyst,"Tampa, FL 33619+31 locations",PostedToday,$24 - $26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Tampa, FL 33619+31 locations,0,0
30,Digitas,"Analyst, Data and Analysis","New York, NY 10104 (Midtown area)+3 locations",Posted7 days ago,Internship,"✦ Identifying nuances in data to optimize our clients’ business.We are the connected marketing agency, a full-service agency with modern creative & media, data…",Entry Level,New York, NY 10104 (Midtown area)+3 locations,0,0
31,University of Kentucky,Institutional Data Analyst Associate,"Lexington, KY+1 location",Posted4 days ago,$18.80 - $30.09 an hour,"In addition to e-procurement support, the successful candidate will perform data reporting across both internal and external data sources relating to…",Entry Level,Lexington, KY+1 location,0,0
32,Procom,Data Entry Analyst - 331923,"Getzville, NY",Posted4 days ago,Contract,Assist team members with procedural tasks such as creating/closing accounts and updating static data on existing customers.ASAP – 6 months to start.,Entry Level,Getzville, NY,0,0
33,DISYS,Junior Data Analyst,"Riverview, FL+18 locations",PostedToday,$26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Riverview, FL+18 locations,0,0
34,DISYS,Data Analyst,"Tampa, FL+11 locations",Hiring ongoing,$25 - $27 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Tampa, FL+11 locations,0,0
35,DFS,Data Analyst - Entry Level,"Wilmington, DE 19801 (Southbridge area)",PostedToday,$16 - $19 an hour,"Ideal candidates are willing to go the extra mile, thrive in a fast paced environment, remain focused, and recall necessary data.",Entry Level,Wilmington, DE 19801 (Southbridge area),0,0
36,DISYS,Junior Data Analyst,"Tampa, FL+18 locations",PostedToday,$26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Tampa, FL+18 locations,0,0
37,DISYS,Data Analyst,"Tampa, FL+11 locations",Posted4 days ago,$25 - $27 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Tampa, FL+11 locations,0,0
38,Robert Half,Data Analyst,"Fort Worth, TX+1 location",Posted5 days ago,$65000 - $75000 a year,Set and maintain item vendor master data.Special projects as required (e.g. Convert data from acquisition ERP system into McRey ERP system).,Entry Level,Fort Worth, TX+1 location,0,0
39,DISYS,Junior Data Analyst,"Tampa, FL+18 locations",PostedToday,$26 an hour,"To do well in this role, you need a very fine eye for detail, experience as a data analyst, and a strong desire to learn proprietary systems are must haves.",Entry Level,Tampa, FL+18 locations,0,0
